APP,url,classification,commit id,LLM,LLM_Deployment Environments,vectordb,VectorDB_Deployment Environments,langchain,language
(fork)REFRIED-BoolEANS/privatgpt-gui,https://github.com/REFRIED-BoolEANS/privatgpt-gui,context-based QA,840675927b1ace596dcc2c8ed0f6f483805e33fe,llama,local,chroma,local,1,python
camel-ai/camel,https://github.com/camel-ai/camel,task management,71d466d9d67d1d7230ebfa1be6db95f5c53e38d9,OpenAI,Online,mongo,local,0,python
mattzcarey/code-review-gpt,https://github.com/mattzcarey/code-review-gpt,other,87bce4d443c869eb3da09e5a2c11b1a79c5e5d6a,OpenAI,Online,dynamodb,online,1,TypeScript
(fork)chenhunghan/code-review-private-ai,https://github.com/chenhunghan/code-review-private-ai,other,17f00ec43ba35f3914fea322ad84f4b1a888500f,llama,local,dynamodb,online,1,TypeScript
cpacker/MemGPT,https://github.com/cpacker/MemGPT,context-based QA,6e2c92e3abda617b9efc96c88b582195579717c8,OpenAI,Online,chroma,local,0,python
(fork)starsnatched/MemGPT-multimodal,https://github.com/starsnatched/MemGPT-multimodal,context-based QA,82b9b74efa9ad2a04dc531b0ef77a9e229e86e00,openai,online,chroma,local,0,python
(fork)goetzrobin/MemGPT,https://github.com/goetzrobin/MemGPT,context-based QA,0e8918e79935d24210991d78da09bf0e4c796d2e,openai,Online,chroma,local,0,python
GreyDGL/PentestGPT,https://github.com/GreyDGL/PentestGPT,multifunction,a4e5361d76c880a9cf6f79f12e6cff90c8c01da3,OpenAI,Online,pinecone,Online,1,python
(fork)0xk1h0/PentestGPT,https://github.com/0xk1h0/PentestGPT,multifunction,a6edb3053ef1b3e0c36286306bc95cd8e6ceb026,openai,online,pinecone,online,1,python
(fork)vmayoral/PentestGPT,https://github.com/vmayoral/PentestGPT,multifunction,58e80fa92dea24da3d4899aa625b7683100720da,openai,online,pinecone,online,1,python
Devansh968/Chat-with-Pdf-using-Qdrant-vector-database,https://github.com/Devansh968/Chat-with-Pdf-using-Qdrant-vector-database,context-based QA,771195f36a735a6f4ac1b63edc04661c11a67f3f,OpenAI,online,qdrant,online,1,python
